home,score,away,year
Sporting CP ,3–3, Partizan,1955–56
Vörös Lobogó ,6–3, Anderlecht,1955–56
Servette ,0–2, Real Madrid,1955–56
Rot-Weiss Essen ,0–4, Hibernian,1955–56
Djurgården ,0–0, Gwardia Warsaw,1955–56
Rapid Wien ,6–1, PSV Eindhoven,1955–56
AGF ,0–2, Reims,1955–56
Milan ,3–4, Saarbrücken,1955–56
Partizan ,5–2, Sporting CP,1955–56
Real Madrid ,5–0, Servette,1955–56
Gwardia Warsaw ,1–4, Djurgården,1955–56
Hibernian ,1–1, Rot-Weiss Essen,1955–56
Anderlecht ,1–4, Vörös Lobogó,1955–56
Reims ,2–2, AGF,1955–56
PSV Eindhoven ,1–0, Rapid Wien,1955–56
Saarbrücken ,1–4, Milan,1955–56
Djurgården ,1–3, Hibernian,1955–56
Reims ,4–2, Vörös Lobogó,1955–56
Real Madrid ,4–0, Partizan,1955–56
Rapid Wien ,1–1, Milan,1955–56
Hibernian ,1–0, Djurgården,1955–56
Vörös Lobogó ,4–4, Reims,1955–56
Partizan ,3–0, Real Madrid,1955–56
Milan ,7–2, Rapid Wien,1955–56
Reims ,2–0, Hibernian,1955–56
Real Madrid ,4–2, Milan,1955–56
Hibernian ,0–1, Reims,1955–56
Milan ,2–1, Real Madrid,1955–56
Real Madrid ,4–3, Reims,1955–56
Borussia Dortmund ,4–3, Spora Luxembourg,1956–57
Dinamo București ,3–1, Galatasaray,1956–57
Anderlecht ,0–2, Manchester United,1956–57
Slovan UNV Bratislava ,4–0, CWKS Warsaw,1956–57
AGF ,1–1, Nice,1956–57
Porto ,1–2, Athletic Bilbao,1956–57
Spora Luxembourg ,2–1, Borussia Dortmund,1956–57
CWKS Warsaw ,2–0, Slovan UNV Bratislava,1956–57
Athletic Bilbao ,3–2, Porto,1956–57
Manchester United ,10–0, Anderlecht,1956–57
Nice ,5–1, AGF,1956–57
Galatasaray ,2–1, Dinamo București,1956–57
Borussia Dortmund ,7–0, Spora Luxembourg,1956–57
CDNA Sofia ,8–1, Dinamo București,1956–57
Manchester United ,3–2, Borussia Dortmund,1956–57
Slovan UNV Bratislava ,1–0, Grasshopper,1956–57
Rangers ,2–1, Nice,1956–57
Real Madrid ,4–2, Rapid Wien,1956–57
Rapid JC ,3–4, Red Star Belgrade,1956–57
Fiorentina ,1–1, IFK Norrköping,1956–57
Athletic Bilbao ,3–2, Budapest Honvéd,1956–57
Red Star Belgrade ,2–0, Rapid JC,1956–57
Rapid Wien ,3–1, Real Madrid,1956–57
Nice ,2–1, Rangers,1956–57
Borussia Dortmund ,0–0, Manchester United,1956–57
IFK Norrköping ,0–1, Fiorentina,1956–57
Grasshopper ,2–0, Slovan UNV Bratislava,1956–57
Budapest Honvéd ,3–3, Athletic Bilbao,1956–57
Dinamo București ,3–2, CDNA Sofia,1956–57
Nice ,3–1, Rangers,1956–57
Real Madrid ,2–0, Rapid Wien,1956–57
Athletic Bilbao ,5–3, Manchester United,1956–57
Fiorentina ,3–1, Grasshopper,1956–57
Real Madrid ,3–0, Nice,1956–57
Red Star Belgrade ,3–1, CDNA Sofia,1956–57
Manchester United ,3–0, Athletic Bilbao,1956–57
CDNA Sofia ,2–1, Red Star Belgrade,1956–57
Grasshopper ,2–2, Fiorentina,1956–57
Nice ,2–3, Real Madrid,1956–57
Red Star Belgrade ,0–1, Fiorentina,1956–57
Real Madrid ,3–1, Manchester United,1956–57
Fiorentina ,0–0, Red Star Belgrade,1956–57
Manchester United ,2–2, Real Madrid,1956–57
Real Madrid ,2–0, Fiorentina,1956–57
CDNA Sofia ,2–1, Vasas,1957–58
Rangers ,3–1, Saint-Étienne,1957–58
Stade Dudelange ,0–5, Red Star Belgrade,1957–58
AGF ,0–0, Glenavon,1957–58
Gwardia Warsaw ,3–1, Wismut Karl-Marx-Stadt,1957–58
Sevilla ,3–1, Benfica,1957–58
Shamrock Rovers ,0–6, Manchester United,1957–58
Milan ,4–1, Rapid Wien,1957–58
Saint-Étienne ,2–1, Rangers,1957–58
Glenavon ,0–3, AGF,1957–58
Benfica ,0–0, Sevilla,1957–58
Red Star Belgrade ,9–1, Stade Dudelange,1957–58
Manchester United ,3–2, Shamrock Rovers,1957–58
Vasas ,6–1, CDNA Sofia,1957–58
Rapid Wien ,5–2, Milan,1957–58
Wismut Karl-Marx-Stadt ,3–1, Gwardia Warsaw,1957–58
Wismut Karl-Marx-Stadt ,1–1 (a.e.t.)Decided by a coin flip., Gwardia Warsaw,1957–58
Milan ,4–2, Rapid Wien,1957–58
