Country_Other,Total_Cases,Total_Deaths,Total_Recovered,Active_Cases,Tot Cases_1M_pop,Deaths_1M_pop,Total_Tests,Tests_1M_pop,Population
Algeria,271852,6881,183061,81910,5995,152,230960,5093,45350148
Angola,105384,1934,103419,31,3009,55,1499795,42818,35027343
Benin,28014,163,27847,4,2191,13,604310,47268,12784726
Botswana,330256,2801,327049,406,135286,1147,2026898,830300,2441162
Burkina Faso,22056,396,21596,64,998,18,248995,11265,22102838
Burundi,54241,38,53569,634,4296,3,345742,27386,12624840
CAR,15368,113,15200,55,3063,23,81294,16205,5016678
Cabo Verde,64238,415,63755,68,113159,731,401622,707482,567678
Cameroon,125090,1974,122807,309,4482,71,1751774,62762,27911548
Chad,7701,194,4874,2633,442,11,191341,10988,17413580
Comoros,9109,161,8939,9,10038,177,,,907419
Congo,25375,386,24006,983,4377,67,347815,59991,5797805
DRC,97697,1468,84489,11740,1026,15,846704,8890,95240792
Djibouti,15690,189,15427,74,15441,186,305941,301094,1016097
Egypt,516023,24613,442182,49228,4861,232,3693367,34792,106156692
Equatorial Guinea,17229,183,16907,139,11512,122,365697,244342,1496662
Eritrea,10189,103,10086,0,2782,28,23693,6470,3662244
Eswatini,74882,1427,73116,339,63201,1204,1048704,885119,1184817
Ethiopia,501032,7574,488171,5287,4147,63,5565340,46066,120812698
Gabon,48992,307,48674,11,21013,132,1621909,695641,2331533
Gambia,12626,372,12189,65,4935,145,155686,60851,2558482
Ghana,171740,1462,170255,23,5301,45,2538052,78346,32395450
Guinea,38563,468,37757,338,2781,34,660107,47607,13865691
Guinea-Bissau,9614,177,8929,508,4659,86,145231,70385,2063367
Ivory Coast,88338,835,87497,6,3184,30,1690934,60951,27742298
Kenya,343955,5689,337309,957,6119,101,3967062,70569,56215221
Lesotho,34790,723,25980,8087,15990,332,431221,198199,2175699
Liberia,8090,295,7783,12,1525,56,139824,26356,5305117
Libya,507270,6437,500833,0,72048,914,2483848,352782,7040745
Madagascar,68330,1425,66862,43,2342,49,531329,18210,29178077
Malawi,88908,2686,85651,571,4406,133,624784,30959,20180839
Mali,33152,743,32332,77,1544,35,804909,37483,21473764
Mauritania,63715,997,62471,247,12998,203,1009957,206030,4901981
Mauritius,42905,1051,41173,681,33658,824,358675,281374,1274727
Morocco,1276176,16297,1256151,3728,33786,431,13001033,344191,37772756
Mozambique,233417,2243,228805,2369,7054,68,1371127,41437,33089461
Namibia,171998,4098,167099,801,65302,1556,1062663,403460,2633874
Niger,9931,312,8890,729,381,12,254538,9759,26083660
Nigeria,266675,3155,259953,3567,1230,15,5708974,26339,216746934
Rwanda,133194,1468,131647,79,9793,108,6021981,442778,13600464
Sao Tome and Principe,6597,80,6517,0,28975,351,29036,127530,227679
Senegal,89014,1971,87024,19,5042,112,1146543,64946,17653671
Seychelles,50937,172,50750,15,512311,1730,,,99426
Sierra Leone,7762,126,,,934,15,259958,31296,8306436
Somalia,27334,1361,13182,12791,1623,81,400466,23778,16841795
South Africa,4076463,102595,3912506,61362,67095,1689,26795090,441027,60756135
South Sudan,18368,138,18115,115,1581,12,410280,35313,11618511
Sudan,63993,5046,58947,0,1391,110,562941,12240,45992020
Tanzania,43078,846,,,681,13,,,63298550
Togo,39513,290,39216,7,4552,33,812881,93641,8680837
Tunisia,1153361,29423,,,95741,2442,5013383,416164,12046656
Uganda,171829,3632,100431,67766,3548,75,3012408,62198,48432863
Zambia,349287,4069,341316,3902,17940,209,4112961,211244,19470234
Zimbabwe,265742,5718,258888,1136,17333,373,2525756,164744,15331428
